PALABRA,FONEMA,TRADUCCIÓN
appreciate,əˈpriːʃɪeɪt,"Apreciar, agradecer"
appreciation,əˌpriːʃiˈeɪʃnn,agradecimiento
approach,əˈprəʊtʃ(aprouch),acercarse
appropriate,əˈprəʊprɪeɪt,"Apropiado, adecuado"
approval,əˈpruːvəl/,aprobación
approve,əˈpruːv,aprobar
approximately,əˈprɒksɪmɪtl,aproximadamente
Arab,ˈarəb,árabe
architect,ɑːkɪtekt,arquitecto
architecture,ɑːkɪtektʃəʳ,arquitectura
area,ɛərɪə,área
arena,əˈriːnə,estadio
argue,ɑːgjuː,"Argumentar, discutir"
argument,ˈɑːgjʊmənt,"Argumento, discusión"
arise,əˈrɪzn,"Surgir, levantarse"
arm,ɑːm,brazo
armed,ɑːrmd,armado
army,ˈɑːmɪ,ejercito
around,əˈraʊnd,Alrededor
arrangement,əˈreɪndʒmənt,"Arreglo, disposición"
array,əˈreɪ,"Formación, desplegar, surtido"
arrest,əˈrest,"Arrestar, arresto"
arrival,əˈraɪvəl,"Arribo, llegada, aterrizaje (avión)"
arrive,əˈraɪv (earriv),llegar
arrow,ˈærəʊ,flecha
art,ɑːt,Arte
article,ɑː´tɪkl,artículo
articulate,ɑːˈtɪkjʊleit,"Articular, expresar"
artifact,ˈɑːtɪfækt,artefacto
artificial,ɑːtɪˈfɪʃln,artificial
artist,ɑːtɪst,artista
artistic,ɑːˈtɪstɪk,artístico
as,æz,"Igual, como, mientras"
ash,aesh,ceniza
Asian,ˈāZHən,asiática
aside,əˈsaɪd,"A un lado, aparte"
ask,ɑːsk,Preguntar
asleep,əˈsliːp,dormido
aspect,ˈæspekt,"Aspecto, apariencia"
ass,æs,"Trasero, nalgas"
assault,əˈsɔːlt,"Ataque, asalto"
assemble,əˈsembl,Ensamblar
assembly,əˈsemblɪ,"Asamblea, ensamblaje"
assert,əˈs3ːt,"Aseverar, afirmar"
assess,əˈses,evaluar
assessment,əˈsesmənt,tasación
asset,ˈæset,"Activos, bienes"
assign,əˈsaɪn,"Asignar, adjudicar"
assignment,əˈsaɪnmənt,"Encargo, tarea, deberes"
assist,əˈsɪst,"Asistir a, ayudar, asistir"
assistance,əˈsɪstəns,"Ayuda, asistencia"
assistant,əˈsɪstənt,asistente
associate,əˈsəʊʃɪɪt,"Asociarse, relacionarse"
association,əˌsəʊʃiˈeɪʃnn,asociación
assume,əˈsjuːm,"Asumir, suponer"
assumption,əˈsʌmpʃən,suposición
assure,əˈʃʊəʳ,"Asegurar, asegurarse"
astronomer,əsˈtrɒnəməʳ,astrónomo
at,æt,"En, a (prep)"
athlete,ˈæθliːt,atleta
athletic,æθˈletɪk,atlético
atop,əˈtɒp,Encima de
attach,əˈtætʃ,"Atar, adjuntar"
attack,əˈtæk,ataque
attempt,əˈtempt,intentar
attend,əˈtend,"Atender, asistir"
attendance,əˈtendəns,asistencia
attention,əˈtenʃən,atención
attitude,ˈætɪtjuːd,actitud
attorney,əˈt3ːnɪ,"Abogado, representante legal"
attract,əˈtrækt,"Atraer, llamar la atención"
attraction,əˈtrækʃən,atracción
attractive,əˈtræktɪv,atractivo
attribute,ˈætrɪbjuːt,atributo
auction,ˈɔːkʃən,"Subasta, remate"
audience,ɔːdɪəns,"Audiencia, auditorio"
aunt,ɑːnt,tía
author,ɔːθəʳ,autor
authority,ɔːˈθɒrɪtɪ,autoridad
authorize,ˈɔːθəraɪz,autorizar
auto,ˈɔːtəʊ(outou),auto
automatic,ɔːtəˈmætɪk,automático
"automaticall
y",ɔːtəˈmætɪkəlɪ,automáticamente
automobile,ˈɔːtəməʊˌbiːl,automóvil
autonomy,ɔːˈtɒnəmɪ,autonomía
availability,əˌveɪləˈbɪlɪtɪ,disposición
available,əˈveɪləbl(eveilebl),"disponible, asequible"
average,ˈævərɪdʒ,promedio
avoid,əˈvɔɪd,evitar
await,əˈweɪt,esperar
awake,əˈweɪk,despierto
award,əˈwɔːd,"Premio, galardón"
aware,əˈwɛəʳ,"Consciente, informado"
awareness,əˈwɛənɪs,conciencia
away,əˈweɪ,"Alejarse, desviarse"
awful,ˈɔːfəl,horrible
baby,beɪbɪ,bebé
back,bæk,espalda
background,ˈbækgraʊnd,"Fondo,al fondo; experiencia"
backyard,ˈbækˈjɑːd,Patio trasero
bacteria,bækˈtɪəriə,bacteria
bad,bæd,Malo; defectuoso
badly,ˈbædlɪ,"Gravemente, mal"
bag,bæg,"Bolsa, maleta"
bake,beɪk,"Hornear, cocer en el horno"
balance,ˈbæləns,equilibrio
balanced,ˈbælənst,equilibrado
beginning,bɪˈgɪnɪŋ,"Empezar, comenzar"
behalf,bɪˈhɑːf,"En nombre de, en representación de"
ball,bɔːl,"Pelota, balón"
balloon,bəˈluːn,globo
ballot,ˈbælət,votación
ban,bæn,prohibir
banana,bəˈnɑːnə,banana
band,bænd,banda
bank,Bæŋk,banco
banker,ˈbæŋkə(r),banquero
banking,ˈbæŋkɪŋ,"Bancario, banca"
bar,bɑːʳ,bar
bare,bɛəʳ,desnudo
barely,bɛəlɪ,apenas
barrel,ˈbærəl,barril
barrier,ˈbærɪəʳ,barrera
base,Beis,"Base, forma"
baseball,ˈbeɪsbɔːl,béisbol
basement,ˈbeɪsmənt,sótano
basic,ˈbeɪsɪk,básico
basically,beɪsɪklɪ,básicamente
basis,Dogs need to be walked on a regular basis.,base
basket,ˈbɑːskɪt,cesta
basketball,ˈbɑːskɪtbɔːl,baloncesto
bat,bæt,murciélago
bath,baθ,"Baño, tina"
bathroom,ˈbɑːθrʊm,"Baño, cuarto de baño"
battery,ˈbætərɪ,batería
battle,ˈbætl,batalla
bay,beɪ,bahía
be,biː,"ser, estar"
beach,biːtʃ,playa
beam,biːm,"Barra, viga"
bean,biːn,frijol
bear,bɛəʳ,Oso; soportar
beard,bɪərd,barba
beast,biːst,bestia
beat,biːt,"Golpear, latir"
beautiful,bjuːtɪfʊl,hermoso
beauty,ˈbjuːtɪ,belleza
because,bɪˈkɒz,"Porque, ya que"
become,bɪˈkʌm,"Llegar a ser, convertirse"
bed,bed,cama
bedroom,ˈbedrʊm,dormitorio
bee,biː,abeja
beef,biːf,Carne de vacuno
beer,bɪəʳ,cerveza
before,bɪˈfɔːʳ,antes
beg,Beg,"Rogar, suplicar"
begin,bɪˈgen,"Comenzar, empezar"
behave,bɪˈheɪv,comportarse
behavior,biˈ-hā-vyer,"Conducta, comportamiento"
behavioral,biˈhāvyərəl,"Conductual, de comportamiento"
behind,bɪˈhaɪnd,Detrás de
being,ˈbiːɪŋ,siendo
belief,bɪˈliːf,creer
believe,bɪˈliːv,Creer
bell,bel,campana
belly,ˈbelɪ,vientre
belong,bɪˈlɒŋ,pertenecer
below,bɪˈləʊ,Debajo de
belt,belt,cinturón
bench,bentʃ,banco
beneath,bɪˈniːθ,debajo
benefit,ˈbenɪfɪt,beneficio
beside,bɪˈsaɪd,Al lado de
besides,bɪˈsaɪdz,además
best,Best,mejor
bet,Bet,apostar
better,ˈbetəʳ,Mejor que
between,bɪˈtwiːn,Entre
beyond,bɪˈjɒnd,Más allá
bias,ˈbaɪəs,"Preferencia, inclinación"
Bible,ˈbībəl,biblia
bicycle,ˈbaɪsɪkl,bicicleta
bid,bid,"Oferta, pujar"
big,bɪg,Grande
bill,bil,"Billete, cuenta"
billion,bɪlɪən,Billón(mil millones)
bind,baɪnd,"Obligar, amarrar"
biography,baiografi,biografía
biological,baɪəˈlɒdʒɪkəl,biológico
biology,aɪˈɒlədʒɪ,biología
bird,b3ːd,pájaro
birth,b3ːrθ,nacimiento
birthday,b3ːrθdei,cumpleaños
bishop,ˈbɪʃəp,obispo
bit,bit,"Poco, pizca, broca"
bite,bait,morder
bitter,ˈbɪtəʳ,amargo
black,blæk,negro
blade,bleɪd,hoja
blame,Bleim,Culpar a
blank,blæŋk,"En blanco, blanco"
blanket,ˈblæŋket,frazada
blast,blɑːst,explosión
blend,blend,"Mezcla, combinación"
bless,Bles,Bendecir
blessing,ˈblesɪŋ,bendición
breathe,Bri:d,"Respirar, aspirar"
blind,blaɪnd,"Ciego, cegar"
blink,blɪŋk,parpadear
block,blɒk,"Bloque, pedazo, manzana"
blond,blɒnd,rubio
blood,blod,sangre
blow,bləʊ(blou),soplar
blue,bluː,azul
board,bɔːd,tabla
boast,bəʊst,"Jactarse, presumir"
boat,bəʊt(bout),bote
body,bɒdɪ,Cuerpo
boil,bɔɪl,Hervir
bold,bəʊld,"Negrita, acentuado"
bolt,bəʊlt,"Cerrojo, pestillo, perno"
bomb,bɒm,bomba
bombing,ˈbɒmɪŋ,bombardeo
bond,bɒnd,"Lazo, vínculo"
bone,bəʊn,hueso
bonus,ˈbəʊnəs,bonificación
book,bʊk,Libro
boom,boum,"Auge, estampido, explosión"
boost,buːst,"Impulso, estimular"
boot,buːt,bota
booth,buːð,pabellón
border,ˈbɔːdəʳ,"Borde, frontera"
boring,ˈbɔːrɪŋ,aburrido
born,bɔːn,nacer
borrow,ˈbɒrəʊ(borou),"Pedir prestado, endeudarse"
boss,bɒs,jefe
both,bəʊθ,Ambos
bottle,ˈbɒtl,"Botella, biberón"
bottom,ˈbɒtəm,"Fondo, de abajo"
bounce,baʊns,rebotar
boundary,ˈbaʊndərɪ,frontera
bow,bəʊ,"Inclinarse, reverencia, arco"
bowl,bəʊl,bol
box,bɒks,caja
boy,bɔɪ,chico
boyfriend,ˈbɔɪfrend,pololo
brain,Brein,cerebro
brake,Breik,"Freno, frenar"
branch,brɑːntʃ,"Rama, sucursal"
brand,brænd,marca
brave,Breiv,valiente
bread,bred,pan
break,breɪk,"Romper, quebrar"
breakfast,ˈbrekfəst,desayuno
breast,brest,pecho
breath,breθ,"Respiración, aliento"
breathing,ˈbriːðɪŋ,Respiración. aliento
breeze,briz,brisa
brick,Brik,ladrillo
bride,braid,novia
bridge,brɪdʒ,puente
briefly,ˈbriːflɪ,"Brevemente, en pocas palabras,
resumen"
bright,Brait,Brillante
brilliant,ˈbrɪljənt,brillante
bring,brɪŋ,Traer
British,ˈbrɪtɪʃ,Británico
broad,brɔːd,Amplio
broadcast,ˈbrɔːdkɑːst,"Programa, emisión"
broken,ˈbrəʊkən,"Roto, averiado"
broker,ˈbrəʊkəʳ,Corredor de bolsa
bronze,brɒnz,bronce
brother,brʌðəʳ,Hermano
brown,braʊn,café
brush,brʌʃ,"Brocha, cepillo"
brutal,ˈbruːtl,brutal
buck,bak,"Conejo macho, dólar"
bucket,ˈbʌkɪt,balde
budget,bʌd-ʒet,presupuesto
bug,bʌg,"Bicho, intervenir teléfonos"
build,bɪld,Construir
builder,bílder,constructor
building,bɪldɪŋ,"Construcción, edificio"
bulb,bʌlb,"Bombilla, bulbo(planta)"
bulk,bolk,"Mayor, a granel, bulto"
bull,bʊl,toro
bullet,ˈbʊlɪt,bala
bunch,bʌntʃ,"Racimo, manojo"
burden,ˈb3ːdn,"Carga(peso),"
bureau,ˈbjʊərəʊ,"Oficina, agencia"
burn,b3ːn,Quemar
burning,ˈb3ːnɪŋ,En llamas
burst,bɜːst,explotar
bury,ˈberɪ,enterrar
bus,bʌs,bus
bush,bʊʃ,arbusto
business,bɪznɪs,"Negocio, empresa, comercio"
businessman,biznisˌman,empresario
busy,ˈbɪzɪ,ocupado
but,bʌt,pero
butt,bʌt,culo
butter,ˈbʌtəʳ,mantequilla
butterfly,ˈbʌtəflaɪ,mariposa
button,ˈbʌtn,botón
buy,baɪ,comprar
buyer,ˈbaɪəʳ,comprador
by,baɪ,por
cab,kæb,cabina
cabin,‘kæbɪn,cabina
casual,ˈkæʒjʊəl,casual
casualty,kæʒjʊəltɪ,siniestro
cat,kæt,gato
cabinet,ˈkæbɪnet,"Gabinete, armario"
cable,ˈkeɪbl,cable
cage,keɪdʒ,jaula
cake,Keik,torta
calculate,kalkyəˌlāt,calcular
calculation,kælkjʊˈleɪʃən,cálculo
calendar,ˈkæləndəʳ,calendario
call,kɔːl,llamar
calm,kɑːm,"Calmado, calmar"
camera,ˈkæmərə,camára
camp,Kæmp,campamento
campaign,kæmˈpeɪn,campaña
campus,ˈkæmpes,"Campus, instalaciones"
can,kæn,poder
Canadian,kəˈneɪdɪən,canadiense
cancel,ˈkænsəl,cancelar
cancer,kænsəʳ,cáncer
candidate,ˈkændɪdət,candidato
candle,ˈkændl,vela
candy,ˈkændɪ,caramelos
canvas,kænves,"Lienzo, lona"
cap,kæp,"Gorra, tapón"
capability,keɪpəˈbɪlɪtɪ,capacidad
capable,ˈkeɪpəbl,"Capaz de, cualificado"
capacity,kəˈpæsɪtɪ,capacidad
capital,ˈkæpɪtl,capital
captain,ˈkæptɪn,capitán
capture,ˈkæptʃəʳ,capturar
car,kɑːʳ,Auto
carbohydrate,ˈkɑːbəʊˈhaɪdreɪt,carbohidrato
carbon,ˈkɑːbən,carbono
card,card,"Cartón, tarjeta"
care,kɛəʳ,cuidado
career,kərɪə´ʳ,"Carrera, trayectoria"
careful,ˈkɛəfʊl,cuidadoso
carefully,ˈkɛəfəlɪ,Con cuidado
cargo,ˈkɑːgəʊ,"Cargamento, carga"
carrier,ˈkærɪəʳ,"Transporte, transportista"
carrot,ˈkærət,zanahoria
carry,"Could you carry this table from the kitchen to the dining room?
kærɪ","Llevar, transportar"
cart,kɑːt,carro
cartoon,kɑːˈtuːn,Dibujos animados
carve,kɑːv,tallar
case,Keis,"Estuche, caso"
cash,kæʃ,efectivo
casino,kəˈsiːnəʊ,casino
cast,Kast,"Lanzar; reparto, elenco"
catalog,ˈkætəlɒɡ,catálogo
catch,kætʃ,"Coger, capturar"
category,ˈkætɪgərɪ,"Clase, categoría"
Catholic,ˈkæθəlɪk,católico
cattle,ˈkætl,ganado
cause,kɔːz,causa
cave,Keiv,cueva
cease,siːs,"Cesar, suspender"
ceiling,ˈsiːlɪŋ,"Techo, cielo raso"
celebrate,ˈselɪbreɪt,celebrar
celebration,elɪˈbreɪʃən,celebración
celebrity,seˈlebrɪtɪ,celebridad
cell,Sel,célula
cemetery,ˈsemeterɪ,cementerio
center,ˈsentə(r),centro
central,ˈsentrəl,central
century,sentjʊrɪ,"Siglo, centuria"
CEO,Ci-i-ou,Presidente ejecutivo
ceremony,ˈserɪmənɪ,ceremonia
certain,s3ːtən,certeza
certainly,s3ːtənlɪ,"Definitivamente, por supuesto"
chain,tʃeɪn,cadena
chair,tʃɛəʳ,silla
chairman,tʃɛəmən(cherman),presidente
challenge,ˈtʃælɪndʒ,desafío
chamber,ˈtʃeɪmbəʳ,"Cámara, sala"
champion,ˈtʃæmpɪən,campeón
championship,ˈtʃæmpɪənʃɪp,campeonato
chance,tʃɑːns,"Chance, oportunidad; fortuito"
change,tʃeɪndʒ,cambiar
changing,ˈtʃeɪndʒɪŋ,cambiante
channel,ˈtʃænl,canal
chaos,ˈkeiɒs,"Caos, desorden"
chapter,ˈtʃæptəʳ,capítulo
character,kærɪktəʳ,Personaje; carácter
characteristic,kærɪktəˈrɪstɪk,"Característica, característico"
characterize,ˈkærɪktəraɪz,caracterizar
charge,tʃɑːdʒ,"Cargo, cobrar, acusación,
cargar"
charity,ˈtʃærɪtɪ,caridad
charm,tʃɑːm,"Encanto, talismán"
chart,tʃɑːt,gráfica
charter,ˈtʃɑːtəʳ,"Alquilar, acta constitutiva"
chase,tʃeɪs,"Perseguir, cazar"
cheap,tʃiːp,barato
cheat,tʃiːt,"Engañar, hacer trampa"
check,tʃek,"Verificar, chequear, control"
cheek,tʃiːk,mejilla
cheer,tʃɪəʳ,"Aclamar, hurra!"
cheese,tʃiːz,queso
chef,ʃef,chef
chemical,ˈkemɪkəl,química
chemistry,ˈkemɪstrɪ,Química (atracción o ciencia)
chest,tʃest,pecho
chew,tʃuː,"Masticar, mascar"
chicken,ˈtʃɪken,pollo
chief,tʃiːf,"Jefe, principal"
child,tʃaɪld,Niño
childhood,tʃaɪldhʊd,"Infancia, niñez"
chill,tʃil,"Frío, escalofrío"
chin,tʃɪn,"Barbilla, mentón"
Chinese,chainís,chino
chocolate,ˈtʃɒ-k-let,chocolate
choice,tʃɔɪs,"Elección, alternativa"
cholesterol,kəˈlestərɒl,colesterol
choose,tʃuːz,escoger
chop,tʃɒp,"Tajada, picar"
Christian,ˈkrɪstʃən,cristiano
Christianity,krɪstɪˈænɪti,cristianismo
Christmas,krísməs,navidad
chronic,ˈkrɒnɪk,crónica
chunk,tʃʌŋk/,trozo
church,tʃ3ːtʃ,iglesia
cigarette,sɪgəˈret,cigarrillo
circle,ˈs3ːkl(ser-kl),círculo
circuit,ˈs3ːkɪt(ser-ket),"Circuito, pista"
circumstanc e,ˈs3ːkəmstəns,circunstancia
cite,saɪt,"Citar, cita"
citizen,ˈsɪtɪzn,ciudadano
citizenship,ˈsɪtɪznʃɪp,ciudadanía
city,sɪtɪ,"Ciudad, urbano"
civic,ˈsɪvɪk,Cívico
civil,Sivl,civil
civilian,sɪˈvɪlɪən,civil
civilization,sɪvɪlaɪˈzeɪʃən,civilización
claim,kleɪm,declarar
class,klɑːs,clase
classic,ˈklæsɪk,clásico
classical,ˈklæsɪkəl,clásico
classify,ˈklæsɪfaɪ,clasificar
classroom,ˈklɑːsrʊm,"Salón, aula"
clay,kleɪ,barro
clean,kliːn,limpio
clear,klɪəʳ,"Claro, transparente"
clearly,kli(ə)rli,claramente
clerk,kl3ːk,"Vendedor, dependiente"
click,Klik,"Clic, pinchar"
client,ˈklaɪənt,cliente
cliff,Klif,"Acantilado,peñasco,   precipicio"
climate,ˈklaɪmɪt,clima
climb,Klaim,"Subir, ascender"
cling,kling,Mantenerse cerca
clinic,ˈklɪnɪk,clínica
clinical,ˈklɪnɪkəl,clínico
clip,klip,"Clip, sujetapapeles"
clock,klɒk,reloj
close,kləʊs,"Cerca, cerrar"
closed,kləʊzd,cerrado
closely,ˈkləʊslɪ,cercano
closer,ˈkləʊsə(r),Más cerca
closest,closest,Más cercano
closet,ˈklɒzet,Clóset
cloth,klɒθ,"Tela, tejido"
clothes,kləʊðz,ropa
clothing,ˈkləʊðɪŋ,Prendas de vestir
cloud,kloʊd,nube
club,klʌb,club
clue,kluː,"Pista, prueba"
cluster,ˈklʌstəʳ,grupo
coach,kəʊtʃ,entrenador
coal,kəʊl,carbón
coalition,kəʊəˈlɪʃən,coalición
coast,kəʊst,costa
coastal,ˈkəʊstəl,"Costero,litoral"
coat,kəʊt,abrigo
cocaine,kəˈkein,cocaína
code,kəʊd,"Clave, código"
coffee,ˈkɒfɪ,café
cognitive,ˈkɒgnɪtɪv,cognitivo
coin,kɔɪn,Moneda; acuñar
cold,kəʊld,frío
collaboratio n,kəˌlæbəˈreɪʃən,colaboración
collapse,kəˈlæps,"Colapsar, derrumbar"
collar,ˈkɒləʳ,"Collar, cuello"
colleague,ˈkɒliːg,colega
collect,kəˈlekt,coleccionar
collection,kəˈlekʃən,colección
collective,kəˈlektɪv,colectivo
collector,kəˈlektəʳ,coleccionista
college,kɒlɪdʒ,"Facultad, universidad"
colonial,kəˈləʊnɪəl,colonial
colony,ˈkɒlənɪ,colonia
color,,color
colorful,colorfol,colorido
column,kolom,columna
columnist,ˈkɒləmnɪst,columnista
combat,ˈkɒmbæt,combate
combination,kɒmbɪˈneɪʃən,combinación
combine,ˈkɒmbaɪn,"Combinar, mezclar"
concede,kənˈsiːd,"Conceder, admitir, ceder"
combined,ˈkɒmbaɪnt,combinado
come,kʌm,"Venir, entrar, llegar"
